Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2306,2306,0,0.087,268.842,483.933,0,0,0,25,1,-10921639,1.918,2,1,2,3884,0.274,48.669,0.152,1.845
ID1576,1576,0,0.103,262.768,503.266,0,1,1,25,1,-10921639,1.763,2,1,2,3571,0.425,35.440,0.172,1.217
ID1268,1268,0,0.103,274.696,505.099,0,2,2,25,1,-10921639,1.808,2,1,2,3662,0.394,35.371,0.183,1.424
ID968,968,0,0.098,271.553,510.145,0,3,3,25,1,-10921639,1.708,2,1,2,3459,0.455,34.755,0.153,0.995
ID824,824,0,0.096,279.417,497.212,0,4,4,25,1,-10921639,1.846,2,1,2,3738,0.361,42.930,0.166,1.458
ID533,533,0,0.098,278.870,502.079,0,5,5,25,1,-10921639,1.822,2,1,2,3690,0.382,35.896,0.174,1.415
ID672,672,0,0.097,280.639,495.268,0,6,6,25,1,-10921639,1.733,2,1,2,3510,0.442,33.333,0.160,1.083
ID2208,2208,0,0.095,279.511,484.503,0,7,7,25,1,-10921639,1.784,2,1,2,3612,0.412,34.948,0.152,1.140
ID1882,1882,0,0.079,275.640,495.072,0,8,8,25,1,-10921639,1.672,2,1,2,3385,0.470,32.865,0.103,0.664
ID1416,1416,0,0.078,265.918,495.136,0,9,9,25,1,-10921639,1.901,2,1,2,3850,0.298,40.668,0.130,1.467
ID2042,2042,0,0.086,266.741,485.099,0,10,10,25,1,-10921639,1.892,2,1,2,3831,0.311,39.677,0.145,1.547
ID1112,1112,0,0.085,268.206,485.330,0,11,11,25,1,-10921639,1.823,2,1,2,3691,0.382,34.828,0.138,1.154
ID2630,2630,0,0.088,267.104,483.299,0,12,12,25,1,-10921639,1.904,2,1,2,3856,0.294,45.489,0.155,1.739
ID367,367,0,0.081,265.341,482.086,0,13,13,25,1,-10921639,1.824,2,1,2,3693,0.381,35.285,0.126,1.073
ID1753,1753,0,0.079,267.208,493.494,0,14,14,25,1,-10921639,1.768,2,1,2,3581,0.422,38.257,0.122,0.912
ID2471,2471,0,0.073,271.617,503.290,0,15,15,25,1,-10921639,1.739,2,1,2,3521,0.439,30.491,0.115,0.817
ID3366,3366,0,0.078,276.689,508.332,0,16,16,25,1,-10921639,1.682,2,1,2,3407,0.466,30.008,0.114,0.740
ID3906,3906,0,0.060,280.916,521.063,0,17,17,25,1,-10921639,1.492,1,1,2,3021,0.500,24.524,0.075,0.416
ID4831,4831,0,0.048,287.000,525.922,0,18,18,25,1,-10921639,1.329,1,1,2,2692,0.470,18.908,0.042,0.230
ID5408,5408,0,0.025,291.115,529.194,0,19,19,25,1,-10921639,1.195,1,1,2,2419,0.396,16.632,0.005,0.032
ID3201,3201,0,0.018,294.578,540.574,0,20,20,25,1,-10921639,1.142,1,1,2,2313,0.349,95.000,0.007,0.042
ID2180,2180,1,0.082,794.596,130.852,0,0,0,25,1,-10921639,1.847,2,1,2,3741,0.360,50.685,0.143,1.282
